DocTitle,IndexerTime
771627549.xml,7
1290642449.xml,17
746876639.xml,11
1329989089.xml,12
857066819.xml,7
1258634379.xml,17
106873819.xml,5
1819626459.xml,11
1861175609.xml,13
1946223689.xml,17
1578253769.xml,6
116220989.xml,11
151818439.xml,8
1404828789.xml,5
247730549.xml,6
1360452799.xml,32
116659059.xml,81
1980016999.xml,32
1500319569.xml,5
1425666559.xml,21
885112699.xml,26
1401082059.xml,10
664699889.xml,15
2117750929.xml,11
2076566389.xml,13
454229969.xml,116
495459149.xml,24
1120083009.xml,23
1634091549.xml,24
916810159.xml,37
643857899.xml,17
1822961259.xml,16
1061976339.xml,37
1033847439.xml,15
1731516449.xml,49
1818096549.xml,22
1345621759.xml,18
1465588469.xml,13
364388409.xml,14
1639070029.xml,16
617649619.xml,15
628984189.xml,7
1581226129.xml,9
1899003669.xml,7
1864931789.xml,7
845651779.xml,8
1732232579.xml,31
1685282119.xml,9
1817900249.xml,10
1026714619.xml,7
673885269.xml,15
1364786929.xml,9
390581109.xml,11
535510779.xml,16
2001825819.xml,7
2120340009.xml,13
213711139.xml,9
1944709159.xml,14
1111777769.xml,15
507643049.xml,7
1188814229.xml,8
1373683939.xml,8
20844759.xml,12
1733804929.xml,9
1760587849.xml,7
894870319.xml,7
855316939.xml,8
1969042799.xml,9
1954747689.xml,16
1307461099.xml,8
395028759.xml,15
1504197419.xml,19
1076312139.xml,8
330618119.xml,39
606248489.xml,21
104638249.xml,15
700607699.xml,8
2011149479.xml,8
992002749.xml,20
1954954429.xml,8
1006563649.xml,6
1851106969.xml,13
588766099.xml,9
1390738199.xml,7
1358899729.xml,8
963249889.xml,7
262096209.xml,8
1909029899.xml,7
2092196029.xml,13
1154430359.xml,13
1211018569.xml,13
800735919.xml,13
1922752569.xml,14
301801969.xml,8
347527959.xml,8
765976469.xml,7
850594549.xml,7
