DocTitle,IndexerTime
239040737.xml,12
454909047.xml,8
1719416827.xml,11
207791697.xml,10
2137430377.xml,20
1465557947.xml,9
139118507.xml,9
471520227.xml,9
1657011747.xml,8
1479199037.xml,12
645247117.xml,11
1326078737.xml,12
529075887.xml,9
1929442917.xml,10
1256403557.xml,11
508791797.xml,10
485236617.xml,12
1980049857.xml,8
390820227.xml,11
2130457777.xml,12
1496766187.xml,11
979371247.xml,20
1904994007.xml,15
969846137.xml,16
1106630437.xml,18
901722087.xml,14
893926537.xml,20
764980237.xml,11
379530757.xml,10
504898687.xml,11
994502837.xml,10
1850150167.xml,10
619306517.xml,12
272329547.xml,9
161368097.xml,10
278443367.xml,21
1964712467.xml,10
1850150007.xml,9
1335696017.xml,12
2020680447.xml,11
1612291567.xml,12
1893420957.xml,9
1707718967.xml,10
1053764017.xml,11
1804658537.xml,14
416439697.xml,9
1731516327.xml,11
1823298327.xml,10
1916037507.xml,11
252390767.xml,28
1550695397.xml,16
1327978277.xml,10
2129667817.xml,14
1802662527.xml,9
387372757.xml,11
2122142837.xml,12
1110089487.xml,10
1929088187.xml,11
136624237.xml,11
1749968027.xml,11
1731516537.xml,9
2135085227.xml,10
450224817.xml,15
1452054347.xml,18
149057107.xml,13
1973691017.xml,15
271468777.xml,19
1980014207.xml,14
1568247757.xml,24
909573097.xml,25
1727660507.xml,10
1252730177.xml,11
406149507.xml,10
1830132517.xml,20
1308057387.xml,9
399954497.xml,9
1762724967.xml,13
1380571737.xml,10
1778428297.xml,13
643403587.xml,10
1980043847.xml,9
389817957.xml,9
1850151037.xml,11
1242954587.xml,9
1409599167.xml,9
1706539057.xml,9
1980018117.xml,8
1558292857.xml,9
1730840707.xml,9
763070977.xml,9
2034012657.xml,8
1737754327.xml,10
1647810997.xml,10
114672547.xml,8
2125429537.xml,15
494902337.xml,9
2065588117.xml,11
1234097847.xml,12
1850150937.xml,8
1951520227.xml,9
939970157.xml,9
1442661387.xml,8
1248127577.xml,8
1803446767.xml,11
1578425397.xml,18
684222877.xml,9
1682730227.xml,9
1710156037.xml,12
2122738747.xml,9
1863084747.xml,10
723489747.xml,11
1904761977.xml,11
1572640707.xml,10
2069364027.xml,10
863541527.xml,9
1589290777.xml,18
1368718317.xml,14
1817292747.xml,8
917381267.xml,10
1508088287.xml,12
736768827.xml,12
1188021737.xml,8
1732049727.xml,10
1879896047.xml,10
280573907.xml,9
1330444157.xml,10
1935800297.xml,11
1267510247.xml,9
1733515347.xml,13
2104352647.xml,8
391158727.xml,11
1095690577.xml,10
2129016037.xml,7
1208602707.xml,9
1717185977.xml,9
84729727.xml,8
393728147.xml,12
1187723887.xml,10
635171347.xml,8
367568267.xml,6
1449343077.xml,5
481086167.xml,11
1835379117.xml,8
1934426127.xml,18
1526203937.xml,18
2140385917.xml,19
1860696667.xml,24
2026643737.xml,12
473527197.xml,12
237082817.xml,27
